Depth,Type,Train_Acc,Val_Acc,Test_Acc,Train_Loss,Convergence_Epoch
20,Plain,72.7825,68.54,65.21000000000001,0.7841678169250488,7
32,Plain,66.7675,64.02,67.01,0.9487808403015137,9
44,Plain,54.669999999999995,48.75,47.410000000000004,1.2716894647598267,9
56,Plain,40.3425,37.13,38.21,1.6335312093734742,9
20,ResNet,75.52250000000001,72.08,73.06,0.7048313595771789,9
32,ResNet,74.4475,71.71,71.98,0.7373613979339599,9
44,ResNet,69.1025,68.78,69.76,0.8775904049873352,9
56,ResNet,66.4825,64.78,65.27,0.9439840867042542,9
